File Name,Page Number,Title,Date,Georgraphy Coverage,Genre,Language,Subject,Description,Physical Location,Unique Identifier,Collection
XS-083_MessKit_1919_Page01.jpg,1,The Mess Kit,1919-06,France ,Military Newspaper,English,"World War I, 1914-1918",American Expeditionary Forces newspaper,"Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, Print Collection 12, XS-083",XS-083,World War I printed media and art collection
XS-083_MessKit_1919_Page02.jpg,2,The Mess Kit,1919-06,France ,Military Newspaper,English,"World War I, 1914-1918",American Expeditionary Forces newspaper,"Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, Print Collection 12, XS-083",XS-083,World War I printed media and art collection
XS-083_MessKit_1919_Page03.jpg,3,The Mess Kit,1919-06,France ,Military Newspaper,English,"World War I, 1914-1918",American Expeditionary Forces newspaper,"Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, Print Collection 12, XS-083",XS-083,World War I printed media and art collection
XS-083_MessKit_1919_Page04.jpg,4,The Mess Kit,1919-06,France ,Military Newspaper,English,"World War I, 1914-1918",American Expeditionary Forces newspaper,"Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, Print Collection 12, XS-083",XS-083,World War I printed media and art collection
XS-083_MessKit_1919_Page05.jpg,5,The Mess Kit,1919-06,France ,Military Newspaper,English,"World War I, 1914-1918",American Expeditionary Forces newspaper,"Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, Print Collection 12, XS-083",XS-083,World War I printed media and art collection
XS-083_MessKit_1919_Page06.jpg,6,The Mess Kit,1919-06,France ,Military Newspaper,English,"World War I, 1914-1918",American Expeditionary Forces newspaper,"Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, Print Collection 12, XS-083",XS-083,World War I printed media and art collection
XS-083_MessKit_1919_Page07.jpg,7,The Mess Kit,1919-06,France ,Military Newspaper,English,"World War I, 1914-1918",American Expeditionary Forces newspaper,"Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, Print Collection 12, XS-083",XS-083,World War I printed media and art collection
XS-083_MessKit_1919_Page08.jpg,8,The Mess Kit,1919-06,France ,Military Newspaper,English,"World War I, 1914-1918",American Expeditionary Forces newspaper,"Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, Print Collection 12, XS-083",XS-083,World War I printed media and art collection
XS-083_MessKit_1919_Page09.jpg,9,The Mess Kit,1919-06,France ,Military Newspaper,English,"World War I, 1914-1918",American Expeditionary Forces newspaper,"Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, Print Collection 12, XS-083",XS-083,World War I printed media and art collection
XS-083_MessKit_1919_Page10.jpg,10,The Mess Kit,1919-06,France ,Military Newspaper,English,"World War I, 1914-1918",American Expeditionary Forces newspaper,"Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, Print Collection 12, XS-083",XS-083,World War I printed media and art collection
XS-083_MessKit_1919_Page11.jpg,11,The Mess Kit,1919-06,France ,Military Newspaper,English,"World War I, 1914-1918",American Expeditionary Forces newspaper,"Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, Print Collection 12, XS-083",XS-083,World War I printed media and art collection
XS-083_MessKit_1919_Page12.jpg,12,The Mess Kit,1919-06,France ,Military Newspaper,English,"World War I, 1914-1918",American Expeditionary Forces newspaper,"Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, Print Collection 12, XS-083",XS-083,World War I printed media and art collection
XS-083_MessKit_1919_Page13.jpg,13,The Mess Kit,1919-06,France ,Military Newspaper,English,"World War I, 1914-1918",American Expeditionary Forces newspaper,"Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, Print Collection 12, XS-083",XS-083,World War I printed media and art collection
XS-083_MessKit_1919_Page14.jpg,14,The Mess Kit,1919-06,France ,Military Newspaper,English,"World War I, 1914-1918",American Expeditionary Forces newspaper,"Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, Print Collection 12, XS-083",XS-083,World War I printed media and art collection
XS-083_MessKit_1919_Page15.jpg,15,The Mess Kit,1919-06,France ,Military Newspaper,English,"World War I, 1914-1918",American Expeditionary Forces newspaper,"Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, Print Collection 12, XS-083",XS-083,World War I printed media and art collection
XS-083_MessKit_1919_Page16.jpg,16,The Mess Kit,1919-06,France ,Military Newspaper,English,"World War I, 1914-1918",American Expeditionary Forces newspaper,"Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, Print Collection 12, XS-083",XS-083,World War I printed media and art collection
XS-083_MessKit_1919_Page17.jpg,17,The Mess Kit,1919-06,France ,Military Newspaper,English,"World War I, 1914-1918",American Expeditionary Forces newspaper,"Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, Print Collection 12, XS-083",XS-083,World War I printed media and art collection
XS-083_MessKit_1919_Page18.jpg,18,The Mess Kit,1919-06,France ,Military Newspaper,English,"World War I, 1914-1918",American Expeditionary Forces newspaper,"Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, Print Collection 12, XS-083",XS-083,World War I printed media and art collection
XS-083_MessKit_1919_Page19.jpg,19,The Mess Kit,1919-06,France ,Military Newspaper,English,"World War I, 1914-1918",American Expeditionary Forces newspaper,"Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, Print Collection 12, XS-083",XS-083,World War I printed media and art collection
XS-083_MessKit_1919_Page20.jpg,20,The Mess Kit,1919-06,France ,Military Newspaper,English,"World War I, 1914-1918",American Expeditionary Forces newspaper,"Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, Print Collection 12, XS-083",XS-083,World War I printed media and art collection